881585651627548672	@iAsadM Yaar Woh Banda PIA aircraft ko Ghusal dey raha hay. Us per bhi aap.logon ko Problem hay... What an Irony...	irony
881526005126623232	Irony died a brutal death. Koun panauti word use kar raha hai:-/ abe chakke semi hit  ki paidayesh..apne muh se badi baat mt kr https://twitter.com/beingvoiceless/status/881514253823422465 …	non-irony
881433477853306880	Aisa lag raha hai jaise poore Hindustan ki abaadi aakar bol rahi hai ki "JHMS ka buzz nahi". The Irony	non-irony
881398008088285185	Wah wah...Kya baat h...Tum to jaise kisi ki fan ho hi nahi ?  IRONY	irony
881358288423493632	Panama waale #GST ka prachaar kar rahe hain... Irony on India	irony
881236902577192961	yess i can't stand him lekin Imad ke liye dekh rahi hoon aur Imad ne hi dil tid diya  #irony	irony
881125965472169984	Irony hai Vivek. Gana itta achha.. gaane wali koi nahi .. #oksorrybye	irony
880880058298138625	Irony bhi Panama Nahar ka pata puchh rahi thi ....  #GST	irony
880831051140141056	Sari zindagi doosron ki maa behen ki maa behen karnay walay aaj "Maryam Qaum ki Beti Hay" trend kar rahay hain, irony's death!	irony
880825412527431680	Bhart me yah kitani big irony hai ki desh ke defence minister and finance minister ek hee hai Arun Jetalee .kamal hai	irony
880762772153286656	Dusron ki bajani hoti hai tab tujhe public private nahi dikhta. Maine ek valid point kar diya toh khopche mein batau. Kyu? Irony!	irony
880687165470109696	Janwar Ko Bachane Ke Liye, Insaan Ko Maar Rahe Hai!!!  #NotInMyName #irony #toomuchviolence #hinduismonitspeak	irony
880653412098027525	Ye logic dekhiye agar PM nahi bolthe Hain tho Jo ayyub & Sameer ko maara wo culprits nahi hain. Irony gaya bhad me... https://twitter.com/ShuklaJitups/status/880649356067696640 …	irony
843365459412107264	Irony ka intaqaal to tab ho gaya jab Madam ne 'Orwellian' bol diya	irony
843319158733463553	Duniy ki koi bhi ladki single nhi hai, or sabse single banda hu me,  What a irony	irony
843318612463161344	mere pados wale uncle ne tana marte huye kaha dekho mera beta clerk ban gaya aur tu abhi samaj sewa me hi laga hai . Irony...	irony
843099712941146112	Yogi Adityanath anagrams to Hata Diya Tiny Go #irony #YogiAdityanath	irony
843053601928888320	almost confirmed  yeh kaise hota hain bhaiya #irony https://twitter.com/India_Policy/status/843053213758754817 …	non-irony
843050411086893057	Yeh kis maqam pe laya junoon khuda janay Sambhal sambhal k qadam rakh rahy hain deewanay~  The wajd-inducing irony	non-irony
842976704670908416	irony, jo khud suspend ho chuke hai wo dusro pe Vote daalre :P  @Zupergirll	irony
842849851784097792	jab #PIB waalon se ziyadti hogi to woh bhi #Altaf bhai ko yaad karain ge   The irony of things here #MQM	irony
842341578974892032	Jinki Masjiden ek na ho saki, woh #elections me kya ek honge, Dalit aur Yadav Hindu ban gaye, Par tum Deobandi Barelvi hi rah gaye. #Irony	irony
842227759061598208	bharat ke tukde ke khwab dekhane wale jaychand system ko blam kar rahe hai....irony @sumitgaroriya	irony
842212707352907777	Kamal ke Phool Bhi khile huye hai.. talk about Irony!	non-irony
842126876348932100	#EVMkaBahana @TimesNow Why do you waste your time with @AamAadmiParty. Aapna ghar sambhalta nahi(Delhi). Chale dusro ko basane..!! IRONY	irony
842110142422347776	Jo khud Nabi Pak (SAW) ke baaton aur tareeqon pe amal nahin kartay wo log blasphemy ke bina par #Facebook ko #Ban kar rahay hain. #Irony	non-irony
842022083156676608	Biggest Irony: Jiss jagah se sara desh chalta hai waha ye chalta hai  pic.twitter.com/ExsYRokX7V	non-irony
842006961474289664	the irony is aise log desh ko aage badhane ki baat krte hain	irony
841975701087617024	oh the irony. aik doosre pe ungli uthane ki bhi shakal nai hamare 'leaders' ka  @oblmir	irony
841935759359774722	aaj kal irony ke bar buhat high set Hai.	non-irony
841565634295152640	weak kese rabb se baghawat kiye bethy hain... Khuwahishon ko khuda bnae bethy hain  Irony isn't it??	non-irony
895717364699865088	Irony of ironies Abhitak #Aap #INC #Aitc bharat NAHI chodachudi !!!https://twitter.com/pradeepmagazine/status/895303501894500352 …	non-irony
895696019005898758	#HamidAnsari Khule aam ap log hinduon ko marne ki dhamki dete ho. Aur aap log hi ashurakshit ho waaah kyaa baat hai . What a irony..	irony
895642385606221825	Haha irony khudi bol ke khudi ro rahy ho	irony
895633985707102209	Irony is #NawazSharif standing behind bullet proof glass and saying "mujhy apni fikar nhi hay, ap nojawano ki fikar hay" haye #GtRoad	irony
895610393644511235	#Irony at its best. Jisko bachana chaha wahi jaan lene pe aa gye #KanhaiyaKumar	irony
895561060459003904	Irony die a thousand death. Hafiz Saeed's party's motto: Hamari siyasat, khidmat insaniyat. https://twitter.com/ThePrintIndia/status/895558600503853056 …	irony
895515643801292800	Hahahaha..aur ye kah kaun raha hai jiski fans Ranveer ko bolte hai that he got 100 because of Bhansali.. irony died 100 lives..	irony
895489915898675200	Irony is  Log duniya me sbko bhench*d bol dete   Sivaye apne jija k  Jo sach me h.. #oksorry	irony
895347653705437190	And the irony is k uncle sajid bhi apnay bachon se aisa kuch keh rhe hongay	irony
895284865033175040	@ek_samosa_dena , irony...when you order 30 ml more kyuki paani ki bottle me thoda paani baki hai..	irony
895283323018256384	And believing Guha the irony. Chachaji..aapki daal nahi galegi. QIM ke pehle bhi azaadi ki ladaai ladi gyi. Kyun jhooth pel rhe ho yaar	non-irony
895242350099742720	#Irony After singing National Anthem what we see is, "Iss Sehar ko ye hua kya,, Kahi raakh he,, to kahi Dhua Dhua !!"	irony
895194229315518464	Islami aur dhamka ka word ek sath he use kerna tha!! Irony https://twitter.com/geonews_urdu/status/894836286888042499 …	non-irony
895171711133515777	Irony ye hai ki hamari media se sahi news cover nahi hoti. Ye bik gayi hai Media #NorthEastFloods #FarmerSuicide	irony
895147359037992960	BUT @subhashbrala See the irony Shri Subhash Barala says " Beti Bachao Beti Padao"  pic.twitter.com/yOeTN4yneh	non-irony
895147359037992960	See the irony Shri Subhash Barala says " Beti Bachao Beti Padao"  pic.twitter.com/YcB2UBSTb0	non-irony
895120471166902273	Toilet likha hai to kar raha. Irony kya. Nai pta hoga ki movie hai.	non-irony
894969720150962176	Haha. To tumhare kaha log chhote hai? Chidu kaka bhi former minister hai #irony #GujaratRSPolls #biggesttestforsoniahttps://twitter.com/ANI/status/894964649153536000 …	irony
894964254016536577	Paresh Rawal said, "Log desh ko boodhe bhediyon ke haath mein chhod dete hain" in the movie Nayak. Irony dekh rahe ho bhai log?	non-irony
894921874332934144	Aap muft mashwara day rahi Hain k muft mashwaron say parhain karain.irony committed suicide	irony
894853385597460481	#AdyalaAwaitsNawaz Woml roti chura kai chor ho gaya Log mulk kha gai kannoon likhty likhty Irony of Pakistan	irony
894831144973156352	Irony of history: From Angrez-mukt in 1942 to #Congress-mukt in 2017 http://www.awesummly.com/news/4241183  #politics #newspic.twitter.com/IimPRKMqu3	irony
894592996053626881	Irony : 3 log mera birthday samajh kar wish bhi kardiye	non-irony
894570832281862144	Kal tak jo container walon ko galiyan deetey they aj khud charney ko tayyar hain. Irony #دِلوں_کا_وزیراعظم_نوازشریف	irony
894560318336139264	#PTI k ye halaat ho gaye hain k ab ye apne ap ko sacha saabit karnay ke liay aamir liaqat or veena malik ko quote krtay hain #irony	irony
894556194475450368	What is #irony? "Or bhai sab badiya? Yaar ek #problem hai, Achaa sun na m 2 min m call krta hun"	irony
894504050120687620	Irony is people here say "hamay pata Sharif kruptt Hai, to Kya hua? Kuch kaam (roads) to ker raha Hai"	non-irony
894493707793080321	What an irony...!  On the day of Raksha Bandhan, political slaves are doing slut shaming. Fir sanskaar sikhane ki baat bhi karte hain. 1/2	irony
894429092065443840	Irony is that "loog ab bhi is ganjey ko support kar rahey hain".....#دِلوں_کا_وزیراعظم_نوازشریف	non-irony
894406384908881920	And the irony is jis ladki ne tumhay sbse phle friendship day wish kiya tha agle hi din vohi tumhay "Happy rakshabandhan" wish kregi!	non-irony
894315222302896131	Beta aapke moo par iron parega, ussay bari koi irony ho hi nahi sakti	non-irony
894294394039181312	Irony of India.. english me likhne wala Hindi ke "Bhagwan" shabd ke liye pareshan hai. https://twitter.com/Chopdasaab/status/893906720749006848 …	irony
894280732314443776	Raat k iss peher Shaitaan jata nahi hai Neend ati nahi hai  Irony of my life	irony
894232916024324098	Aj office se jaldi chutti hogai, raat 9 baje  Oh the irony	irony
894143822531252224	Wahaan se toh gandh bahar nikalte hain... Sad irony in it though...	non-irony
894058735693443074	Irony is #friendshipday pe Sab izzat se wish karte hai	irony
893843021837381635	Jiska owner khud rice bech kar farzi tarike se paise kamaye woh ab deshbhakt hai irony	irony
893790402549035008	Poori qaum ne #GameOfThones ka leaked episode dekh lia. Ye wohi loog hai jo Nawaz Shareef ko corrupt kehte hai. IRONY!	irony
893782856664797184	Bande ki Ye tweet dekho. Phir iske profile me ja ke dekho iske tweets & retweets promoting hindutva. Irony ki maa behen ki jai!!! https://twitter.com/knockinamit/status/893708439305699328 …	non-irony
